code	company_name
1376	カネコ種苗株式会社
1377	株式会社　サカタのタネ
1375	株式会社雪国まいたけ
1379	ホクト株式会社
1381	株式会社アクシーズ
1382	株式会社ホーブ
1911	住友林業株式会社
1301	株式会社　極洋
1332	株式会社ニッスイ
1333	マルハニチロ株式会社
5711	三菱マテリアル株式会社
5713	住友金属鉱山株式会社
5706	三井金属鉱業株式会社
5729	日本精鉱株式会社
1491	中外鉱業株式会社
5714	ＤＯＷＡホールディングス株式会社
3315	日本コークス工業株式会社
5715	古河機械金属株式会社
9675	常磐興産株式会社
8835	太平洋興発株式会社
7021	株式会社ニッチツ
1515	日鉄鉱業株式会社
1518	三井松島ホールディングス株式会社
1662	石油資源開発株式会社
1605	株式会社ＩＮＰＥＸ
1925	大和ハウス工業株式会社
1801	大成建設株式会社
1803	清水建設株式会社
1802	株式会社大林組
1861	株式会社　熊谷組
1812	鹿島建設株式会社
1887	日本国土開発株式会社
1820	西松建設株式会社
1810	松井建設株式会社
1815	鉄建建設株式会社
1882	東亜道路工業株式会社
1884	日本道路株式会社
1811	株式会社錢高組
1941	株式会社中電工
1942	株式会社関電工
1944	株式会社きんでん
1946	株式会社トーエネック
1892	徳倉建設株式会社
1885	東亜建設工業株式会社
1888	若築建設株式会社
1890	東洋建設株式会社
1833	株式会社奥村組
1821	三井住友建設株式会社
1893	五洋建設株式会社
1808	株式会社　長谷工コーポレーション
1945	株式会社東京エネシス
1814	大末建設株式会社
1951	エクシオグループ株式会社
1822	大豊建設株式会社
1813	株式会社不動テトラ
1926	ライト工業株式会社
1841	サンユー建設株式会社
1827	株式会社ナカノフドー建設
1961	三機工業株式会社
1972	三晃金属工業株式会社
1835	東鉄工業株式会社
1968	太平電業株式会社
1949	住友電設株式会社
1950	日本電設工業株式会社
1847	株式会社イチケン
1850	南海辰村建設株式会社
1964	中外炉工業株式会社
1852	株式会社淺沼組
1826	佐田建設株式会社
1853	株式会社　森組
1897	金下建設株式会社
1934	株式会社ユアテック
1967	株式会社ヤマト
1929	日特建設株式会社
1928	積水ハウス株式会社
1959	株式会社九電工
1860	戸田建設株式会社
1870	矢作建設工業株式会社
1969	高砂熱学工業株式会社
1975	株式会社朝日工業社
8157	都築電気株式会社
1976	明星工業株式会社
8836	株式会社ＲＩＳＥ
1807	株式会社佐藤渡辺
1982	日比谷総合設備株式会社
1960	株式会社サンテック
1866	北野建設株式会社
1898	世紀東急工業株式会社
1867	株式会社植木組
1939	株式会社四電工
1992	神田通信機株式会社
1979	株式会社大気社
1938	日本リーテック株式会社
9767	日建工学株式会社
1981	株式会社協和日成
1980	ダイダン株式会社
1899	株式会社福田組
1873	株式会社日本ハウスホールディングス
1869	名工建設株式会社
1914	日本基礎技術株式会社
1930	北陸電気工事株式会社
9743	株式会社丹青社
1966	株式会社　高田工業所
1973	ＮＥＣネッツエスアイ株式会社
1878	大東建託株式会社
1879	新日本建設株式会社
1994	高橋カーテンウォール工業株式会社
1965	株式会社テクノ菱和
1952	新日本空調株式会社
1905	株式会社テノックス
1904	大成温調株式会社
1848	株式会社富士ピー・エス
1844	株式会社大盛工業
1840	株式会社土屋ホールディングス
1828	田辺工業株式会社
1997	暁飯島工業株式会社
1999	サイタホールディングス株式会社
1799	第一建設工業株式会社
1798	株式会社守谷商会
1795	株式会社マサル
1793	株式会社大本組
1788	株式会社三東工業社
1787	株式会社ナカボーテック
1783	株式会社ｆａｎｔａｓｉｓｔａ
1780	株式会社　ヤマウラ
1777	川崎設備工業株式会社
1776	三井住建道路株式会社
1775	富士電機Ｅ＆Ｃ株式会社
1771	日本乾溜工業株式会社
1770	藤田エンジニアリング株式会社
1768	株式会社ソネック
1766	東建コーポレーション株式会社
1764	工藤建設株式会社
1762	株式会社髙松コンストラクショングループ
1758	太洋基礎工業株式会社
1757	株式会社創建エース
1743	コーアツ工業株式会社
1736	株式会社　オーテック
1730	麻生フオームクリート株式会社
8904	株式会社ＡＶＡＮＴＩＡ
1726	株式会社ビーアールホールディングス
1723	日本電技株式会社
1718	美樹工業株式会社
1720	東急建設株式会社
1719	株式会社安藤・間
1716	第一カッター興業株式会社
1721	コムシスホールディングス株式会社
1401	株式会社エムビーエス
1407	株式会社ウエストホールディングス
1414	ショーボンドホールディングス株式会社
2264	森永乳業株式会社
2282	日本ハム株式会社
2281	プリマハム株式会社
2266	六甲バター株式会社
2291	福留ハム株式会社
2292	エスフーズ株式会社
2293	滝沢ハム株式会社
1380	株式会社秋川牧園
2001	株式会社ニップン
2002	株式会社日清製粉グループ本社
2003	日東富士製粉株式会社
2004	昭和産業株式会社
2009	鳥越製粉株式会社
2107	東洋精糖株式会社
2108	日本甜菜製糖株式会社
2109	ＤＭ三井製糖ホールディングス株式会社
2114	フジ日本株式会社
2112	塩水港精糖株式会社
2201	森永製菓株式会社
2209	井村屋グループ株式会社
2204	株式会社中村屋
2206	江崎グリコ株式会社
2211	株式会社不二家
2212	山崎製パン株式会社
2207	名糖産業株式会社
2215	第一屋製パン株式会社
2216	カンロ株式会社
2208	株式会社ブルボン
2217	モロゾフ株式会社
2218	日糧製パン株式会社
2220	亀田製菓株式会社
2221	岩塚製菓株式会社
2222	寿スピリッツ株式会社
2224	株式会社コモ
2226	株式会社湖池屋
3346	ヒロタグループホールディングス株式会社
2501	サッポロホールディングス株式会社
2502	アサヒグループホールディングス株式会社
2503	キリンホールディングス株式会社
2531	宝ホールディングス株式会社
2533	オエノンホールディングス株式会社
2540	養命酒製造株式会社
2267	株式会社ヤクルト本社
2573	北海道コカ・コーラボトリング株式会社
2593	株式会社伊藤園
2579	コカ・コーラボトラーズジャパンホールディングス株式会社
2551	マルサンアイ株式会社
2590	ダイドーグループホールディングス株式会社
2602	日清オイリオグループ株式会社
2607	不二製油グループ本社株式会社
2612	かどや製油株式会社
2613	株式会社Ｊ－オイルミルズ
2801	キッコーマン株式会社
2802	味の素株式会社
2053	中部飼料株式会社
2892	日本食品化工株式会社
2286	林兼産業株式会社
2811	カゴメ株式会社
2871	株式会社ニチレイ
2872	株式会社セイヒョー
4229	群栄化学工業株式会社
2805	ヱスビー食品株式会社
2894	石井食品株式会社
2055	日和産業株式会社
8006	ユアサ・フナショク株式会社
2897	日清食品ホールディングス株式会社
2288	丸大食品株式会社
2875	東洋水産株式会社
