条件index	対象の条件	条件
0	社長_株%	[0, 10)
1	社長_株%	[10, 20)
2	社長_株%	[20, 30)
3	社長_株%	[30, 40)
4	社長_株%	[40, 50)
5	社長_株%	[50, 60)
6	社長_株%	[60, 70)
7	社長_株%	[70, 80)
8	社長_株%	[80, 90)
9	社長_株%	[90, 100]
10	想定時価総額	(0, 50]
11	想定時価総額	(50, 100]
12	想定時価総額	(100, 150]
13	想定時価総額	(150, 200]
14	想定時価総額	(200, 250]
15	想定時価総額	(250, 300]
16	想定時価総額	(300, 350]
17	想定時価総額	(350, 400]
18	想定時価総額	(400, 450]
19	想定時価総額	(450, 500]
20	想定時価総額	(500, inf]
21	PER	なし
22	PER	(1, 10]
23	PER	(10, 20]
24	PER	(20, 30]
25	PER	(30, 40]
26	PER	(40, inf]
27	売上成長率_平均	(0, 5]
28	売上成長率_平均	(5, 10]
29	売上成長率_平均	(10, 15]
30	売上成長率_平均	(15, 20]
31	売上成長率_平均	(20, 25]
32	売上成長率_平均	(25, 30]
33	売上成長率_平均	(30, 35]
34	売上成長率_平均	(35, 40]
35	売上成長率_平均	(40, 45]
36	売上成長率_平均	(45, 50]
37	売上成長率_平均	(50, inf]
38	業種	-
39	業種	ETF・REIT等
40	業種	その他製品
41	業種	その他金融業
42	業種	ガラス土石製品
43	業種	サービス業
44	業種	パルプ・紙
45	業種	不動産業
46	業種	保険業
47	業種	倉庫運輸関連
48	業種	化学
49	業種	医薬品
50	業種	卸売業
51	業種	小売業
52	業種	建設業
53	業種	情報・通信業
54	業種	機械
55	業種	水産・農林業
56	業種	空運業
57	業種	精密機器
58	業種	繊維製品
59	業種	証券商品先物
60	業種	輸送用機器
61	業種	金属製品
62	業種	鉄鋼
63	業種	銀行業
64	業種	陸運業
65	業種	電気・ガス業
66	業種	電気機器
67	業種	非鉄金属
68	業種	食料品
