条件リスト	X倍	X倍以上の%	何年かかったかの中央値	X倍以上の企業数	対象企業数
0	1	86.79	-	230	265
0	2	70.94	0.04	188	265
0	3	44.15	0.63	117	265
0	4	29.81	1.13	79	265
0	5	21.51	1.96	57	265
0	6	15.85	2.3	42	265
0	7	12.45	3.42	33	265
0	8	9.81	4.06	26	265
0	9	7.92	4.89	21	265
0	10	6.79	5.8	18	265
1	1	87.13	-	88	101
1	2	77.23	-0.48	78	101
1	3	61.39	0.31	62	101
1	4	43.56	0.69	44	101
1	5	34.65	1.38	35	101
1	6	25.74	1.69	26	101
1	7	19.8	2.6	20	101
1	8	14.85	2.6	15	101
1	9	13.86	2.58	14	101
1	10	10.89	2.71	11	101
2	1	94.62	-	88	93
2	2	87.1	-0.44	81	93
2	3	61.29	0.05	57	93
2	4	37.63	0.74	35	93
2	5	29.03	0.27	27	93
2	6	20.43	0.76	19	93
2	7	16.13	1.56	15	93
2	8	13.98	2.95	13	93
2	9	12.9	3.01	12	93
2	10	10.75	2.8	10	93
3	1	91.38	-	106	116
3	2	81.03	-0.32	94	116
3	3	56.9	0.4	66	116
3	4	37.93	0.92	44	116
3	5	27.59	1.06	32	116
3	6	21.55	2.15	25	116
3	7	14.66	2.82	17	116
3	8	9.48	3.05	11	116
3	9	6.03	3.14	7	116
3	10	5.17	3.12	6	116
4	1	91.18	-	93	102
4	2	83.33	-0.18	85	102
4	3	65.69	0.52	67	102
4	4	38.24	1.32	39	102
4	5	24.51	1.94	25	102
4	6	17.65	3.32	18	102
4	7	16.67	3.4	17	102
4	8	14.71	3.47	15	102
4	9	13.73	3.45	14	102
4	10	13.73	3.63	14	102
5	1	91.27	-	115	126
5	2	86.51	-0.33	109	126
5	3	62.7	0.32	79	126
5	4	42.86	1.42	54	126
5	5	27.78	1.21	35	126
5	6	20.63	1.37	26	126
5	7	15.08	1.82	19	126
5	8	7.94	2.85	10	126
5	9	7.94	3.08	10	126
5	10	4.76	3.32	6	126
6	1	92.23	-	95	103
6	2	84.47	-0.18	87	103
6	3	61.17	0.45	63	103
6	4	43.69	1.24	45	103
6	5	33.01	2.57	34	103
6	6	24.27	2.99	25	103
6	7	18.45	3.69	19	103
6	8	14.56	3.56	15	103
6	9	13.59	3.9	14	103
6	10	9.71	4.22	10	103
7	1	93.91	-	108	115
7	2	81.74	-0.38	94	115
7	3	58.26	0.18	67	115
7	4	33.91	1.55	39	115
7	5	25.22	1.64	29	115
7	6	20.87	2.33	24	115
7	7	15.65	2.54	18	115
7	8	15.65	2.66	18	115
7	9	13.04	2.71	15	115
7	10	12.17	2.8	14	115
8	1	91.35	-	95	104
8	2	77.88	-0.33	81	104
8	3	52.88	-0.2	55	104
8	4	37.5	0.95	39	104
8	5	26.92	1.27	28	104
8	6	21.15	1.49	22	104
8	7	13.46	3.14	14	104
8	8	12.5	2.07	13	104
8	9	11.54	2.74	12	104
8	10	10.58	3.58	11	104
9	1	90.0	-	99	110
9	2	71.82	-0.15	79	110
9	3	48.18	0.45	53	110
9	4	24.55	0.95	27	110
9	5	18.18	1.07	20	110
9	6	10.91	1.34	12	110
9	7	8.18	2.74	9	110
9	8	6.36	2.76	7	110
9	9	5.45	4.06	6	110
9	10	4.55	5.12	5	110
10	1	0.0	-	0	0
10	2	0.0	-	0	0
10	3	0.0	-	0	0
10	4	0.0	-	0	0
10	5	0.0	-	0	0
10	6	0.0	-	0	0
10	7	0.0	-	0	0
10	8	0.0	-	0	0
10	9	0.0	-	0	0
10	10	0.0	-	0	0
11	1	0.0	-	0	0
11	2	0.0	-	0	0
11	3	0.0	-	0	0
11	4	0.0	-	0	0
11	5	0.0	-	0	0
11	6	0.0	-	0	0
11	7	0.0	-	0	0
11	8	0.0	-	0	0
11	9	0.0	-	0	0
11	10	0.0	-	0	0
12	1	0.0	-	0	0
12	2	0.0	-	0	0
12	3	0.0	-	0	0
12	4	0.0	-	0	0
12	5	0.0	-	0	0
12	6	0.0	-	0	0
12	7	0.0	-	0	0
12	8	0.0	-	0	0
12	9	0.0	-	0	0
12	10	0.0	-	0	0
13	1	0.0	-	0	0
13	2	0.0	-	0	0
13	3	0.0	-	0	0
13	4	0.0	-	0	0
13	5	0.0	-	0	0
13	6	0.0	-	0	0
13	7	0.0	-	0	0
13	8	0.0	-	0	0
13	9	0.0	-	0	0
13	10	0.0	-	0	0
14	1	0.0	-	0	0
14	2	0.0	-	0	0
14	3	0.0	-	0	0
14	4	0.0	-	0	0
14	5	0.0	-	0	0
14	6	0.0	-	0	0
14	7	0.0	-	0	0
14	8	0.0	-	0	0
14	9	0.0	-	0	0
14	10	0.0	-	0	0
15	1	0.0	-	0	0
15	2	0.0	-	0	0
15	3	0.0	-	0	0
15	4	0.0	-	0	0
15	5	0.0	-	0	0
15	6	0.0	-	0	0
15	7	0.0	-	0	0
15	8	0.0	-	0	0
15	9	0.0	-	0	0
15	10	0.0	-	0	0
16	1	0.0	-	0	0
