コード	企業名	競合リスト
3170	アイセイ薬局	
3169	ミサワ	"[{""code"": ""2790"", ""name"": ""ナフコ""}, {""code"": ""3542"", ""name"": ""ベガコーポ""}]"
9206	スターフライヤー	"[{""code"": ""9201"", ""name"": ""日本航空""}, {""code"": ""9202"", ""name"": ""ANAHD""}]"
4977	新田ゼラチン	"[{""code"": ""2916"", ""name"": ""仙波糖化工""}, {""code"": ""4968"", ""name"": ""荒川化学""}, {""code"": ""7932"", ""name"": ""ニッピ""}]"
4583	カイオム・バイオサイエンス	"[{""code"": ""4571"", ""name"": ""ナノMRN""}, {""code"": ""4587"", ""name"": ""ペプチD""}]"
6055	ジャパンマテリアル	"[{""code"": ""4088"", ""name"": ""エアW""}, {""code"": ""4091"", ""name"": ""日本酸素H""}]"
6619	ダブル・スコープ	"[{""code"": ""3891"", ""name"": ""ニッポン紙""}, {""code"": ""4080"", ""name"": ""田中化学""}, {""code"": ""4100"", ""name"": ""戸田工業""}]"
3659	ネクソン	"[{""code"": ""2121"", ""name"": ""MIXI""}, {""code"": ""3668"", ""name"": ""コロプラ""}, {""code"": ""3765"", ""name"": ""ガンホー""}]"
3277	サンセイライディック	"[{""code"": ""2975"", ""name"": ""スタマイカ""}, {""code"": ""8919"", ""name"": ""カチタス""}, {""code"": ""8934"", ""name"": ""サンフロ不""}]"
6054	リブセンス	"[{""code"": ""2379"", ""name"": ""ディップ""}, {""code"": ""4849"", ""name"": ""エンJPN""}]"
1383	ベルグアース	"[{""code"": ""1376"", ""name"": ""カネコ種苗""}, {""code"": ""1377"", ""name"": ""サカタタネ""}, {""code"": ""1382"", ""name"": ""ホーブ""}]"
3444	菊池製作所	"[{""code"": ""6165"", ""name"": ""パンチ工業""}, {""code"": ""6400"", ""name"": ""不二精機""}, {""code"": ""9962"", ""name"": ""ミスミG""}]"
3657	ポールトゥウィン・ピットクルーホールディング	"[{""code"": ""3676"", ""name"": ""デジハーツ""}, {""code"": ""3697"", ""name"": ""SHIFT""}, {""code"": ""6050"", ""name"": ""Eガーディ""}]"
7777	スリー・ディー・マトリックス	"[{""code"": ""4571"", ""name"": ""ナノMRN""}, {""code"": ""4587"", ""name"": ""ペプチD""}, {""code"": ""7774"", ""name"": ""J-TEC""}]"
3276	日本管理センター	"[{""code"": ""1878"", ""name"": ""大東建託""}, {""code"": ""8848"", ""name"": ""レオパレス""}, {""code"": ""8908"", ""name"": ""毎日コムネ""}]"
4582	シンバイオ製薬	"[{""code"": ""4565"", ""name"": ""ネクセラP""}, {""code"": ""4571"", ""name"": ""ナノMRN""}, {""code"": ""4579"", ""name"": ""ラクオリア""}]"
3656	ＫLab	"[{""code"": ""3668"", ""name"": ""コロプラ""}, {""code"": ""3903"", ""name"": ""gumi""}, {""code"": ""3932"", ""name"": ""アカツキ""}]"
3655	ブレインパッド	"[{""code"": ""4165"", ""name"": ""プレイド""}, {""code"": ""4259"", ""name"": ""エクサウィ""}, {""code"": ""6532"", ""name"": ""ベイカレ""}]"
6052	イーピーミント	
3654	ヒト・コミュニケーションズ	
3653	モルフォ	"[{""code"": ""3698"", ""name"": ""CRIMW""}, {""code"": ""3993"", ""name"": ""PKSHA""}]"
4579	ラクオリア創薬	"[{""code"": ""4565"", ""name"": ""ネクセラP""}, {""code"": ""4572"", ""name"": ""カルナBS""}, {""code"": ""4576"", ""name"": ""DWセラ研""}]"
6626	SEMITEC	"[{""code"": ""6763"", ""name"": ""帝国通信""}, {""code"": ""6951"", ""name"": ""日本電子""}, {""code"": ""6957"", ""name"": ""芝浦電子""}]"
1909	日本ドライケミカル	"[{""code"": ""6455"", ""name"": ""モリタHD""}, {""code"": ""6744"", ""name"": ""能美防災""}, {""code"": ""6745"", ""name"": ""ホーチキ""}]"
2882	イートアンド	"[{""code"": ""2877"", ""name"": ""日東ベスト""}, {""code"": ""7611"", ""name"": ""ハイデイ日""}, {""code"": ""9936"", ""name"": ""王将フード""}]"
3275	ハウスコム	"[{""code"": ""3300"", ""name"": ""アンビDX""}, {""code"": ""8850"", ""name"": ""スターツ""}, {""code"": ""8898"", ""name"": ""センチ21""}]"
3652	ディジタルメディアプロフェッショナル	"[{""code"": ""3653"", ""name"": ""モルフォ""}, {""code"": ""3993"", ""name"": ""PKSHA""}, {""code"": ""6730"", ""name"": ""アクセル""}]"
3168	クロタニコーポレーション	"[{""code"": ""1491"", ""name"": ""中外鉱業""}, {""code"": ""5724"", ""name"": ""アサカ理研""}, {""code"": ""7456"", ""name"": ""松田産業""}]"
3649	ピーエスシー	"[{""code"": ""3671"", ""name"": ""ソフトマク""}, {""code"": ""3733"", ""name"": ""Sサービス""}, {""code"": ""4320"", ""name"": ""CEHLD""}]"
6051	アイ・アールジャパン	
3274	アイディホーム	
7150	島根銀行	"[{""code"": ""8365"", ""name"": ""富山銀行""}, {""code"": ""8559"", ""name"": ""豊和銀行""}, {""code"": ""8560"", ""name"": ""宮崎太陽銀""}]"
2229	カルビー	"[{""code"": ""2220"", ""name"": ""亀田製菓""}, {""code"": ""2221"", ""name"": ""岩塚製菓""}, {""code"": ""2226"", ""name"": ""湖池屋""}]"
