日付	コード	企業名	iXBRLのURL	タイトル	PDFのURL
2026-05-14	5592	くすりの窓口	/disc/55920/081220260511522814_tse-acedjpsm-55920-20260514355920-ixbrl.htm	2026年３月期決算短信〔日本基準〕（連結）	/disc/55920/140120260511522814.pdf
2026-02-13	5592	くすりの窓口	/disc/55920/081220260213558899_tse-qcedjpsm-55920-20260213355920-ixbrl.htm	2026年３月期第３四半期決算短信〔日本基準〕(連結)	/disc/55920/140120260213558899.pdf
2025-11-14	5592	くすりの窓口	/disc/55920/081220251114502283_tse-scedjpsy-55920-20251114355920-ixbrl.htm	2026年３月期第２四半期（中間期）決算短信〔日本基準〕(連結)	/disc/55920/140120251114502283.pdf
2025-08-14	5592	くすりの窓口	/disc/55920/081220250813541018_tse-qcedjpsm-55920-20250814355920-ixbrl.htm	2026年３月期第１四半期決算短信〔日本基準〕(連結)	/disc/55920/140120250813541018.pdf
2025-05-14	5592	くすりの窓口	/disc/55920/081220250514548654_tse-acedjpsm-55920-20250514355920-ixbrl.htm	2025年３月期決算短信〔日本基準〕(連結)	/disc/55920/140120250514548654.pdf
2025-02-14	5592	くすりの窓口	/disc/55920/081220250213573529_tse-qcedjpsm-55920-20250214355920-ixbrl.htm	2025年３月期第３四半期決算短信〔日本基準〕(連結)	/disc/55920/140120250213573529.pdf
2024-11-14	5592	くすりの窓口	/disc/55920/081220241114522942_tse-scedjpsy-55920-20241114355920-ixbrl.htm	2025年３月期 第２四半期（中間期）決算短信〔日本基準〕(連結)	/disc/55920/140120241114522942.pdf
2024-08-14	5592	くすりの窓口	/disc/55920/081220240814571758_tse-qcedjpsm-55920-20240814355920-ixbrl.htm	2025年３月期　第１四半期決算短信〔日本基準〕（連結）	/disc/55920/140120240814571758.pdf
2024-05-15	5592	くすりの窓口	/disc/55920/081220240515597559_tse-acedjpsm-55920-20240515355920-ixbrl.htm	2024年３月期 決算短信〔日本基準〕（連結）	/disc/55920/140120240515597559.pdf
2024-02-14	5592	くすりの窓口	/disc/55920/081220240214536085_tse-qcedjpsm-55920-20240214355920-ixbrl.htm	2024年３月期 第３四半期決算短信〔日本基準〕(連結)	/disc/55920/140120240214536085.pdf
2023-11-14	5592	くすりの窓口	/disc/55920/081220231113588492_tse-qcedjpsm-55920-20231114355920-ixbrl.htm	2024年３月期 第２四半期決算短信〔日本基準〕(連結)	/disc/55920/140120231113588492.pdf
2026-07-31	6099	エラン	/disc/60990/081220260728500503_tse-scedjpsy-60990-20260731360990-ixbrl.htm	2026年12月期第2四半期（中間期）決算短信〔日本基準〕（連結）	/disc/60990/140120260728500503.pdf
2026-05-01	6099	エラン	/disc/60990/081220260430515144_tse-qcedjpsm-60990-20260501360990-ixbrl.htm	2026年12月期第1四半期決算短信〔日本基準〕（連結）	/disc/60990/140120260430515144.pdf
2026-02-04	6099	エラン	/disc/60990/081220260203545378_tse-acedjpsm-60990-20260204360990-ixbrl.htm	2025年12月期 決算短信〔日本基準〕（連結）	/disc/60990/140120260203545378.pdf
2025-11-07	6099	エラン	/disc/60990/081220251107591163_tse-qcedjpsm-60990-20251107360990-ixbrl.htm	2025年12月期第3四半期決算短信〔日本基準〕（連結）	/disc/60990/140120251107591163.pdf
2025-08-06	6099	エラン	/disc/60990/081220250805531106_tse-scedjpsy-60990-20250806360990-ixbrl.htm	2025年12月期第2四半期（中間期）決算短信〔日本基準〕(連結)	/disc/60990/140120250805531106.pdf
2025-05-02	6099	エラン	/disc/60990/081220250409511770_tse-qcedjpsm-60990-20250502360990-ixbrl.htm	2025年12月期第1四半期決算短信〔日本基準〕（連結）	/disc/60990/140120250409511770.pdf
2025-02-10	6099	エラン	/disc/60990/081220250210567596_tse-acedjpsm-60990-20250210360990-ixbrl.htm	2024年12月期 決算短信〔日本基準〕（連結）	/disc/60990/140120250210567596.pdf
2024-11-06	6099	エラン	/disc/60990/081220241028504252_tse-qcedjpsm-60990-20241028504252-ixbrl.htm	2024年12月期第3四半期決算短信〔日本基準〕（連結）	/disc/60990/140120241028504252.pdf
2024-08-06	6099	エラン	/disc/60990/081220240723552974_tse-scedjpsy-60990-20240723552974-ixbrl.htm	2024年12月期第2四半期（中間期）決算短信〔日本基準〕（連結）	/disc/60990/140120240723552974.pdf
2024-05-08	6099	エラン	/disc/60990/081220240422574165_tse-qcedjpsm-60990-20240422574165-ixbrl.htm	2024年12月期 第1四半期決算短信〔日本基準〕（連結）	/disc/60990/140120240422574165.pdf
2024-02-14	6099	エラン	/disc/60990/081220240206527095_tse-acedjpsm-60990-20240206527095-ixbrl.htm	2023年12月期 決算短信〔日本基準〕（連結）	/disc/60990/140120240206527095.pdf
2023-11-07	6099	エラン	/disc/60990/081220231024570301_tse-qcedjpsm-60990-20231024570301-ixbrl.htm	2023年12月期 第3四半期決算短信〔日本基準〕（連結）	/disc/60990/140120231024570301.pdf
2023-08-07	6099	エラン	/disc/60990/081220230727528471_tse-qcedjpsm-60990-20230727528471-ixbrl.htm	2023年12月期 第2四半期決算短信〔日本基準〕（連結）	/disc/60990/140120230727528471.pdf
2023-05-10	6099	エラン	/disc/60990/081220230425552607_tse-qcedjpsm-60990-20230425552607-ixbrl.htm	2023年12月期 第1四半期決算短信〔日本基準〕（連結）	/disc/60990/140120230425552607.pdf
2023-02-09	6099	エラン	/disc/60990/081220230202599588_tse-acedjpsm-60990-20230202599588-ixbrl.htm	2022年12月期 決算短信〔日本基準〕（連結）	/disc/60990/140120230202599588.pdf
2022-11-10	6099	エラン	/disc/60990/081220221031552855_tse-qcedjpsm-60990-20221031552855-ixbrl.htm	2022年12月期 第3四半期決算短信〔日本基準〕（連結）	/disc/60990/140120221031552855.pdf
2022-08-10	6099	エラン	/disc/60990/081220220728506225_tse-qcedjpsm-60990-20220728506225-ixbrl.htm	2022年12月期 第2四半期決算短信〔日本基準〕（連結）	/disc/60990/140120220728506225.pdf
2022-05-12	6099	エラン	/disc/60990/081220220427529303_tse-qcedjpsm-60990-20220427529303-ixbrl.htm	2022年12月期 第1四半期決算短信〔日本基準〕（連結）	/disc/60990/140120220427529303.pdf
2022-02-10	6099	エラン	/disc/60990/081220220201577807_tse-acedjpsm-60990-20220201577807-ixbrl.htm	2021年12月期 決算短信〔日本基準〕（連結）	/disc/60990/140120220201577807.pdf
2021-11-11	6099	エラン	/disc/60990/081220211029420213_tse-qcedjpsm-60990-20211029420213-ixbrl.htm	2021年12月期 第3四半期決算短信〔日本基準〕（連結）	/disc/60990/140120211029420213.pdf
2021-08-12	6099	エラン	/disc/60990/081220210802476176_tse-qcedjpsm-60990-20210802476176-ixbrl.htm	2021年12月期 第2四半期決算短信〔日本基準〕（連結）	/disc/60990/140120210802476176.pdf
2021-05-13	6099	エラン	/disc/60990/081220210430404665_tse-qcedjpsm-60990-20210430404665-ixbrl.htm	2021年12月期 第1四半期決算短信〔日本基準〕（連結）	/disc/60990/140120210430404665.pdf
2021-02-12	6099	エラン	/disc/60990/081220210203455158_tse-acedjpsm-60990-20210203455158-ixbrl.htm	2020年12月期 決算短信〔日本基準〕（連結）	/disc/60990/140120210203455158.pdf
2020-11-12	6099	エラン	/disc/60990/081220201030413333_tse-qcedjpsm-60990-20201030413333-ixbrl.htm	2020年12月期 第３四半期決算短信〔日本基準〕（連結）	/disc/60990/140120201030413333.pdf
2020-08-13	6099	エラン	/disc/60990/081220200731472081_tse-qcedjpsm-60990-20200731472081-ixbrl.htm	2020年12月期 第２四半期決算短信〔日本基準〕（連結）	/disc/60990/140120200731472081.pdf
