コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年	2倍まで何年	3倍まで何年	4倍まで何年	5倍まで何年	6倍まで何年	7倍まで何年	8倍まで何年	9倍まで何年	10倍まで何年
3170	アイセイ薬局			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3169	ミサワ	消費者循環	百貨店	13368300	2.6	3.9	"2.83
-1
-1
-1
3.01"	0.22	2.83	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
9206	スターフライヤー	産業	Airlines	3542800	1.6	3.5	"3.99
-1
-1
-1
3.99"	3.88	3.99	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
4977	新田ゼラチン	基礎材料	特殊化学品	5199500	2.2	4.2	"1.18
-1
-1
-1
1.31"	1.0	1.18	1.3	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
4583	カイオム・バイオサイエンス	ヘルスケア	バイオテクノロジー	8907200	0.4	22.7	"0.38
0.48
0.5
0.52
0.61"	0.36	0.38	0.44	0.48	0.5	0.5	0.5	0.52	0.52
6055	ジャパンマテリアル	産業	工学・建設	36604800	43.4	72.9	"0.91
1.77
2.12
3.12
10.88"	-0.57	0.91	1.69	1.77	1.95	2.12	2.82	3.07	3.12
6619	ダブル・スコープ	産業	Electrical Equipment & Parts	11148000	1.4	14.7	"-0.94
2.86
3.01
3.33
3.47"	-0.94	-0.94	-0.94	2.86	2.93	3.01	3.06	3.08	3.33
3659	ネクソン	通信サービス	電子ゲーム・マルチメディア	280361000	6.5	11.2	"3.1
5.01
7.56
8.1
8.4"	-0.63	3.1	4.76	5.01	7.51	7.56	7.66	7.99	8.1
3277	サンセイライディック	不動産	不動産サービス	9184000	7.1	9.0	"-0.6
2.1
5.43
-1
5.49"	-0.64	-0.6	0.67	2.1	3.03	5.43	5.45	5.49	-1.0
6054	リブセンス	通信サービス	インターネットコンテンツ・情報	97865600	0.6	11.8	"0.7
1.35
1.36
1.55
1.56"	0.52	0.7	0.77	1.35	1.36	1.36	1.42	1.53	1.55
1383	ベルグアース	消費者防衛	農産物	5071200	5.1	5.7	"1.32
11.03
-1
-1
12.03"	0.04	1.32	5.97	11.03	-1.0	-1.0	-1.0	-1.0	-1.0
3444	菊池製作所	産業	特殊産業機械	3562500	1.8	17.7	"1.22
1.25
1.26
1.39
1.73"	1.1	1.22	1.24	1.25	1.25	1.26	1.38	1.38	1.39
3657	ポールトゥウィン・ピットクルーホールディング	技術	情報技術サービス	46964000	2.5	7.6	"1.42
6.05
6.66
-1
6.79"	1.38	1.42	2.08	6.05	6.54	6.66	-1.0	-1.0	-1.0
7777	スリー・ディー・マトリックス	ヘルスケア	Medical Devices	27895600	0.3	19.9	"0.54
0.97
1.23
1.42
1.6"	0.45	0.54	0.66	0.97	1.01	1.23	1.25	1.25	1.42
3276	日本管理センター	不動産	不動産サービス	112673600	17.6	25.5	"0.15
1.02
2.82
2.97
3.8"	0.15	0.15	0.48	1.02	1.03	2.82	2.83	2.85	2.97
4582	シンバイオ製薬	ヘルスケア	医薬品メーカー - 専門・ジェネリック	9964425	0.3	5.8	"1.08
1.38
-1
-1
1.38"	0.02	1.08	1.38	1.38	-1.0	-1.0	-1.0	-1.0	-1.0
3656	ＫLab	通信サービス	電子ゲーム・マルチメディア	68139500	0.5	5.9	"1.08
2.18
-1
-1
5.21"	-0.66	1.08	1.09	2.18	-1.0	-1.0	-1.0	-1.0	-1.0
3655	ブレインパッド	技術	情報技術サービス	52549200	7.4	22.0	"1.47
6.21
6.36
6.65
7.51"	-0.16	1.47	1.64	6.21	6.26	6.36	6.58	6.59	6.65
6052	イーピーミント			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3654	ヒト・コミュニケーションズ			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3653	モルフォ	技術	ソフトウェア - アプリケーション	22424700	5.7	37.0	"-0.99
-0.99
-0.98
2.71
3.76"	-0.99	-0.99	-0.99	-0.99	-0.99	-0.98	-0.96	2.36	2.71
4579	ラクオリア創薬	ヘルスケア	バイオテクノロジー	4708800	1.5	10.4	"-0.88
0.92
5.57
5.61
5.68"	-0.88	-0.88	-0.88	0.92	5.15	5.57	5.59	5.61	5.61
6626	SEMITEC	技術	電子部品	46820000	11.1	22.7	"-0.88
-0.85
5.32
5.6
9.62"	-0.89	-0.88	-0.87	-0.85	5.31	5.32	5.34	5.59	5.6
1909	日本ドライケミカル	産業	セキュリティおよび保護サービス	6577600	10.0	10.0	"6.54
10.16
12.48
13.41
13.41"	1.61	6.54	8.44	10.16	10.23	12.48	12.62	13.25	13.41
2882	イートアンド	消費者循環	レストラン	3966600	6.1	7.3	"4.07
6.42
11.06
-1
11.07"	2.32	4.07	6.41	6.42	6.47	11.06	-1.0	-1.0	-1.0
3275	ハウスコム	不動産	不動産サービス	3088200	8.1	10.7	"3.39
5.31
6.15
6.29
6.34"	1.35	3.39	3.71	5.31	5.88	6.15	6.24	6.27	6.29
3652	ディジタルメディアプロフェッショナル	技術	電子部品	7718300	2.2	21.8	"-0.95
2.21
2.21
5.48
5.6"	-0.95	-0.95	-0.91	2.21	2.21	2.21	2.22	2.22	5.48
3168	クロタニコーポレーション	基礎材料	Other Industrial Metals & Mining	5398000	2.9	5.7	"5.63
9.3
-1
-1
9.33"	-0.59	5.63	6.04	9.3	-1.0	-1.0	-1.0	-1.0	-1.0
3649	ピーエスシー	ヘルスケア	健康情報サービス	11949600	14.3	38.0	"0.33
0.35
0.42
0.44
3.29"	0.33	0.33	0.35	0.35	0.36	0.42	0.42	0.43	0.44
6051	アイ・アールジャパン			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3274	アイディホーム			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
7150	島根銀行	金融サービス	銀行 - 地域	2260600	1.0	2.7	"-1
-1
-1
-1
4.21"	1.97	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
2229	カルビー	消費者防衛	包装食品	74138400	7.0	11.2	"1.45
2.51
3.42
4.01
4.07"	1.04	1.45	1.95	2.51	3.36	3.42	3.67	3.87	4.01
3648	AGS	技術	ソフトウェア - アプリケーション	6615200	7.1	12.4	"3.09
5.77
5.93
13.1
13.1"	2.68	3.09	3.87	5.77	5.87	5.93	6.61	13.09	13.1
3646	駅探	通信サービス	インターネットコンテンツ・情報	6484400	1.2	3.7	"6.63
-1
-1
-1
6.65"	-0.73	6.63	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6072	地盤ネット	産業	専門ビジネスサービス	57898800	0.3	4.1	"0.21
-1
-1
-1
0.25"	0.18	0.21	0.25	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3261	グランディーズ	不動産	不動産サービス	278100	6.2	7.5	"9.09
9.1
9.11
-1
9.11"	-0.67	9.09	9.1	9.1	9.1	9.11	-1.0	-1.0	-1.0
2931	ユーグレナ	消費者防衛	家庭用品・個人用品	696965000	2.6	17.6	"0.05
0.27
0.33
0.34
0.38"	0.05	0.05	0.27	0.27	0.32	0.33	0.34	0.34	0.34
6165	パンチ工業	産業	ツール・アクセサリー	6922200	2.4	7.4	"1.19
4.27
4.55
-1
4.57"	0.54	1.19	4.2	4.27	4.39	4.55	-1.0	-1.0	-1.0
3179	シュッピン	消費者循環	インターネット小売	36480000	13.1	21.6	"0.53
1.62
1.82
1.95
5.44"	0.26	0.53	1.03	1.62	1.76	1.82	1.9	1.91	1.95
3669	モバイルクリエイト	Unknown	Unknown	28613600	1.1	3.9	"1.0
-1
-1
-1
1.02"	0.24	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
7164	全国保証	金融サービス	信用サービス	211661800	11.5	13.2	"0.23
1.71
2.22
8.17
11.62"	0.13	0.23	0.92	1.71	1.88	2.22	2.23	4.89	8.17
3178	チムニー	消費者循環	レストラン	6309900	1.9	5.6	"1.16
2.45
-1
-1
2.47"	1.03	1.16	2.13	2.45	-1.0	-1.0	-1.0	-1.0	-1.0
3668	コロプラ	通信サービス	電子ゲーム・マルチメディア	217789500	2.0	15.7	"0.18
0.22
0.59
0.63
1.49"	0.16	0.18	0.22	0.22	0.23	0.59	0.59	0.63	0.63
4929	アジュバンコスメジャパン	消費者防衛	家庭用品・個人用品	6441000	1.9	2.9	"-1
-1
-1
-1
5.47"	4.99	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3667	enish	通信サービス	電子ゲーム・マルチメディア	8935800	0.2	4.7	"0.22
-1
-1
-1
0.24"	0.21	0.22	0.24	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
4585	UMNファーマ			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3666	テクノスジャパン	技術	情報技術サービス	61413600	6.4	11.9	"1.82
1.84
2.76
2.82
2.82"	-0.42	1.82	1.82	1.84	1.93	2.76	2.79	2.8	2.82
6071	IBJ	消費者循環	個人サービス	56140200	6.8	14.7	"0.67
1.9
3.26
4.38
6.55"	0.65	0.67	0.86	1.9	1.97	3.26	3.38	4.27	4.38
4584	ジーンテクノサイエンス	ヘルスケア	バイオテクノロジー	90836400	0.4	8.6	"0.37
0.39
0.4
-1
0.42"	0.13	0.37	0.38	0.39	0.4	0.4	0.42	-1.0	-1.0
3263	エストラスト			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6070	キャリアリンク	産業	人材派遣・雇用サービス	9590400	13.8	16.0	"1.55
2.16
7.32
7.49
9.48"	1.45	1.55	1.68	2.16	7.32	7.32	7.32	7.37	7.49
3177	ありがとうサービス	消費者循環	専門小売	4463600	3.2	3.4	"10.74
-1
-1
-1
10.85"	2.35	10.74	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3896	阿波製紙	基礎材料	紙・紙製品	2648900	1.7	3.9	"2.64
-1
-1
-1
2.64"	0.41	2.64	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3176	三洋貿易	産業	Industrial Distribution	24763800	10.4	11.2	"1.75
4.51
4.7
11.47
11.55"	0.88	1.75	2.55	4.51	4.63	4.7	7.25	10.65	11.47
6069	トレンダーズ	通信サービス	広告代理店	13870200	2.0	4.1	"-0.85
-1
-1
-1
8.99"	-0.85	-0.85	8.98	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
9386	日本コンセプト	エネルギー	Oil & Gas Midstream	7467300	9.8	12.3	"0.89
2.61
5.26
8.69
8.72"	0.46	0.89	2.51	2.61	4.45	5.26	7.99	8.02	8.69
6067	メディアフラッグ			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3175	エー・ピーカンパニー	消費者循環	レストラン	12246900	0.8	2.2	"-1
-1
-1
-1
0.84"	0.74	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
9201	日本航空（JAL）	産業	Airlines	123200	0.9	1.5	"-1
-1
-1
-1
14.77"	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6065	サクセスホールディングス			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3665	エニグモ	技術	ソフトウェア - インフラストラクチャ	154276000	2.0	11.7	"0.62
0.75
0.78
6.7
8.13"	0.18	0.62	0.64	0.75	0.76	0.78	6.63	6.65	6.7
9419	ワイヤレスゲート	通信サービス	電気通信サービス	103342400	0.5	13.6	"0.67
1.38
1.44
1.95
2.03"	0.52	0.67	1.32	1.38	1.42	1.44	1.48	1.48	1.95
6064	アクトコール			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3664	モブキャスト	通信サービス	電子ゲーム・マルチメディア	24817800	0.1	3.9	"0.77
-1
-1
-1
1.05"	0.74	0.77	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6618	大泉製作所			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3174	ハピネス・アンド・ディ	消費者循環	専門小売	5541600	1.3	2.5	"-1
-1
-1
-1
4.99"	0.36	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6063	日本エマージェンシーアシスタンス	ヘルスケア	医療施設	37735200	1.1	5.0	"0.07
3.82
-1
-1
3.82"	0.04	0.07	3.81	3.82	-1.0	-1.0	-1.0	-1.0	-1.0
2930	北の達人コーポレーション	消費者防衛	家庭用品・個人用品	20246400	5.3	33.8	"2.1
2.15
2.45
2.71
3.17"	2.07	2.1	2.14	2.15	2.44	2.45	2.71	2.71	2.71
