コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年
7360	オンデック	金融サービス	資本市場	9668100	0.7	4.7	"-0.99
None
None
None
-0.98"
4884	クリングルファーマ	ヘルスケア	バイオテクノロジー	12448300	1.5	2.3	"None
None
None
None
-0.93"
4881	ファンペップ	ヘルスケア	バイオテクノロジー	31879200	0.5	3.1	"-0.99
None
None
None
-0.99"
6230	SANEI	産業	Building Products & Equipment	9735200	1.4	2.0	"None
None
None
None
3.57"
4172	東和ハイシステム	ヘルスケア	健康情報サービス	3891900	0.8	1.8	"None
None
None
None
-0.94"
7359	東京通信	通信サービス	広告代理店	24461400	0.6	3.9	"1.2
None
None
None
1.21"
4171	グローバルインフォメーション	産業	専門ビジネスサービス	7559500	1.0	2.2	"None
None
None
None
-0.65"
7695	交換できるくん	消費者循環	インターネット小売	6874200	1.0	2.9	"None
None
None
None
0.31"
4169	ENECHANGE	技術	Software—Application	172368800	0.5	6.4	"0.77
0.9
None
None
0.9"
4170	Kaizen Platform	通信サービス	広告代理店	117112200	0.3	4.5	"-0.99
None
None
None
-0.67"
7342	ウェルスナビ	金融サービス	資産運用	160251100	0.5	2.4	"None
None
None
None
0.3"
4168	ヤプリ	技術	Software—Application	34674300	0.3	2.4	"None
None
None
None
-0.57"
7358	ポピンズホールディングス	消費者循環	個人サービス	10419300	0.5	2.1	"None
None
None
None
0.37"
7694	いつも	産業	専門ビジネスサービス	29200500	0.3	4.2	"-0.99
None
None
None
-0.96"
7031	インバウンドテック	産業	専門ビジネスサービス	8564100	1.0	2.7	"None
None
None
None
-0.75"
4167	ココペリ	技術	Software—Application	41088700	0.2	4.3	"-0.98
None
None
None
-0.96"
4166	かっこ	技術	Software—Application	12314200	0.4	3.5	"-0.97
None
None
None
-0.97"
6229	オーケーエム	産業	特殊産業機械	52768500	1.2	2.4	"None
None
None
None
-0.57"
4935	リベルタ	消費者防衛	家庭用品・個人用品	18563600	3.6	4.0	"2.62
None
None
None
2.62"
4020	ビートレンド	技術	Software—Application	3573600	0.6	3.5	"-1.0
None
None
None
-1.0"
4165	プレイド	技術	Software—Application	73602700	0.7	2.5	"None
None
None
None
-0.66"
7944	ローランド	消費者循環	レジャー	169100	3.3	5.3	"19.08
19.42
None
None
19.47"
6612	バルミューダ	消費者循環	家具、備品、家電	85182100	0.3	2.7	"None
None
None
None
0.11"
7092	Fast FitnessJapan	消費者循環	レジャー	40264692	0.6	2.4	"None
None
None
None
0.44"
4019	スタメン	技術	Software—Application	40558200	1.1	2.6	"None
None
None
None
-1.0"
9145	ビーイングホールディングス	産業	統合貨物・物流	41674900	1.9	2.7	"None
None
None
None
3.07"
4494	バリオセキュア	技術	Software—Infrastructure	5057600	0.5	1.5	"None
None
None
None
-1.0"
4017	クリーマ	消費者循環	インターネット小売	12549300	0.2	3.6	"-1.0
None
None
None
-0.87"
7357	ジオコード	通信サービス	広告代理店	10999700	0.7	3.7	"-0.96
None
None
None
-0.96"
4016	MITホールディングス	技術	情報技術サービス	5533400	0.9	3.7	"-1.0
None
None
None
-1.0"
4015	アララ	技術	Software—Application	26345700	0.5	4.0	"-1.0
None
None
None
-0.99"
7356	Retty	通信サービス	インターネットコンテンツ・情報	79449000	0.2	2.6	"None
None
None
None
-0.77"
7097	さくらさくプラス	ヘルスケア	医療施設	6240500	0.5	1.6	"None
None
None
None
-0.96"
4934	プレミアアンチエイジング	消費者防衛	家庭用品・個人用品	33629000	0.1	3.6	"0.58
None
None
None
0.71"
4014	カラダノート	技術	Software—Application	120988000	0.4	1.8	"None
None
None
None
-0.79"
7692	アースインフィニティ	公共事業	Utilities—Diversified	370720800	3.4	30.0	"-0.77
1.19
1.56
1.57
1.71"
4013	日通システム	技術	Software—Application	29598600	0.5	3.0	"None
None
None
None
-0.98"
6600	キオクシアホールディングス			-1			
7354	ダイレクトマーケティングミックス	通信サービス	広告代理店	31365600	0.2	1.9	"None
None
None
None
0.96"
2987	タスキ			-1			
4012	アクシス	技術	情報技術サービス	23558400	0.9	3.2	"-0.86
None
None
None
-0.86"
4011	ヘッドウォータース	技術	Software—Application	11988400	3.5	7.2	"-0.87
-0.87
2.55
None
2.55"
4060	rakumo	技術	Software—Application	33440600	0.8	3.5	"-0.88
None
None
None
-0.87"
4933	I-ne	消費者防衛	家庭用品・個人用品	45795800	1.3	2.6	"None
None
None
None
2.18"
2932	STIフードホールディングス	消費者防衛	包装食品	21723100	2.5	3.0	"4.06
None
None
None
4.06"
4059	まぐまぐ	通信サービス	インターネットコンテンツ・情報	19884200	0.6	5.7	"-0.9
-0.89
None
None
-0.88"
4930	グラフィコ			-1			
4058	トヨクモ	技術	Software—Application	26798400	1.1	3.0	"None
None
None
None
-0.64"
1375	雪国まいたけ	消費者防衛	包装食品	19659400	0.7	1.4	"None
None
None
None
-0.81"
4057	インターファクトリー	通信サービス	インターネットコンテンツ・情報	27993900	0.3	6.2	"-0.97
-0.96
None
None
-0.96"
4056	ニューラルポケット	技術	情報技術サービス	44057900	0.4	3.7	"-0.98
None
None
None
-0.98"
4055	ティアンドエス	技術	情報技術サービス	113346000	1.0	3.9	"-0.74
None
None
None
-0.72"
4883	モダリス	ヘルスケア	Drug Manufacturers—Specialty & Generic	137649000	0.1	2.9	"None
None
None
None
-0.78"
4053	Sun Asterisk	技術	情報技術サービス	174981100	0.4	2.8	"None
None
None
None
0.1"
4054	日本情報クリエイト	技術	Software—Application	79427800	1.2	3.5	"0.18
None
None
None
0.18"
7353	KIYOラーニング	消費者防衛	教育・訓練サービス	45834900	0.4	4.4	"0.18
None
None
None
0.33"
4051	GMOフィナンシャルゲート	技術	Software—Infrastructure	40131200	2.8	7.0	"0.23
0.25
1.32
None
1.32"
4495	アイキューブドシステムズ	技術	Software—Application	8096800	0.3	2.2	"None
None
None
None
-0.84"
4499	Speee	通信サービス	広告代理店	18376200	1.6	2.4	"None
None
None
None
0.73"
7352	BrandingEngineer	産業	専門ビジネスサービス	79133600	7.0	16.4	"-0.46
2.35
2.72
3.08
3.32"
7351	グッドパッチ	技術	Software—Infrastructure	38051300	0.2	2.2	"None
None
None
None
0.22"
6599	エブレン	技術	コンピュータハードウェア	9713900	0.7	2.3	"None
None
None
None
-0.51"
4496	コマースOneホールディングス	技術	Software—Infrastructure	26231400	0.4	2.4	"None
None
None
None
0.24"
4052	フィーチャ	技術	Software—Application	23746000	0.5	3.9	"-0.93
None
None
None
-0.92"
4497	ロコガイド			-1			
7689	コパ・コーポレーション	通信サービス	広告代理店	17579200	0.2	3.4	"-0.84
None
None
None
-0.82"
2984	ヤマイチエステート	不動産	Real Estate—Development	2451700	1.0	1.4	"None
None
None
None
1.25"
6598	スマート・ソリューション・テクノロジー			-1			
2983	アールプランナー	不動産	Real Estate—Development	23805200	2.4	5.1	"0.45
0.52
None
None
0.56"
4498	サイバートラスト	技術	情報技術サービス	42566800	2.0	4.7	"-0.78
None
None
None
-0.77"
7096	ステムセル研究所	ヘルスケア	バイオテクノロジー	50113800	1.4	3.0	"None
None
None
None
-0.6"
4932	アルマード	消費者防衛	家庭用品・個人用品	110290600	2.4	3.9	"0.34
None
None
None
0.62"
7317	松屋アールアンドディ	産業	特殊産業機械	296280000	7.3	9.5	"0.04
0.56
0.62
None
0.64"
7095	Macbee Planet	通信サービス	広告代理店	91713200	6.4	13.5	"0.23
1.19
1.56
2.96
3.26"
