コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年	2倍まで何年	3倍まで何年	4倍まで何年	5倍まで何年	6倍まで何年	7倍まで何年	8倍まで何年	9倍まで何年	10倍まで何年
5892	yutori	Unknown	Unknown	40121400	2.6	4.1	"0.13
-1
-1
-1
0.19"	0.08	0.13	0.19	-1	-1	-1	-1	-1	-1
5870	ナルネットコミュニケーションズ	Unknown	Unknown	44020100	1.0	2.2	"-1
-1
-1
-1
-0.71"	-0.86	-1	-1	-1	-1	-1	-1	-1	-1
5869	早稲田学習研究会	Unknown	Unknown	14561200	1.0	1.2	"-1
-1
-1
-1
-0.74"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5621	ヒューマンテクノロジーズ	技術	Software—Infrastructure	10587100	1.8	2.4	"-1
-1
-1
-1
-0.45"	-0.46	-1	-1	-1	-1	-1	-1	-1	-1
5619	マーソ	Unknown	Unknown	3150200	1.0	2.4	"-1
-1
-1
-1
-0.85"	-0.85	-1	-1	-1	-1	-1	-1	-1	-1
5618	ナイル	Unknown	Unknown	5025000	1.0	3.9	"-0.92
-1
-1
-1
-0.92"	-0.92	-0.92	-1	-1	-1	-1	-1	-1	-1
5868	ロココ	技術	情報技術サービス	22036500	1.2	1.9	"-1
-1
-1
-1
-0.62"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5867	エスネットワークス	産業	コンサルティングサービス	5535700	1.3	2.7	"-1
-1
-1
-1
-0.63"	-0.63	-1	-1	-1	-1	-1	-1	-1	-1
5616	雨風太陽	Unknown	Unknown	43781700	1.6	3.9	"-0.62
-1
-1
-1
-0.61"	-0.64	-0.62	-1	-1	-1	-1	-1	-1	-1
5891	魁力屋	Unknown	Unknown	24329200	1.1	2.0	"-1
-1
-1
-1
0.26"	0.26	-1	-1	-1	-1	-1	-1	-1	-1
5599	S&J	Unknown	Unknown	6373600	1.1	1.7	"-1
-1
-1
-1
-0.64"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5597	ブルーイノベーション	Unknown	Unknown	14740200	1.1	2.7	"-1
-1
-1
-1
-0.9"	-0.9	-1	-1	-1	-1	-1	-1	-1	-1
5596	アウトルックコンサルティング	Unknown	Unknown	4844700	1.5	1.7	"-1
-1
-1
-1
-0.36"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5595	QPS研究所	Unknown	Unknown	897838900	2.2	7.2	"0.13
0.16
0.26
-1
0.26"	0.04	0.13	0.15	0.16	0.16	0.26	-1	-1	-1
4197	アスマーク	産業	専門ビジネスサービス	100	2.5	3.2	"2.05
-1
-1
-1
2.05"	1.96	2.05	-1	-1	-1	-1	-1	-1	-1
9238	バリュークリエーション	Unknown	Unknown	10075800	1.1	1.6	"-1
-1
-1
-1
-0.18"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5889	Japan EyewearHoldings	ヘルスケア	医療機器・用品	22924500	2.6	3.9	"0.62
-1
-1
-1
0.78"	0.36	0.62	-1	-1	-1	-1	-1	-1	-1
5888	DAIWA CYCLE	消費者循環	Recreational Vehicles	6096400	2.0	2.0	"-1
-1
-1
-1
0.84"	0.69	-1	-1	-1	-1	-1	-1	-1	-1
4811	ドリーム・アーツ	技術	Software—Infrastructure	10040300	1.9	2.4	"-1
-1
-1
-1
-0.52"	-0.61	-1	-1	-1	-1	-1	-1	-1	-1
9237	笑美面	産業	コンサルティングサービス	5802700	1.5	2.4	"-1
-1
-1
-1
0.44"	0.29	-1	-1	-1	-1	-1	-1	-1	-1
