コード	成長ドライバー	ポテンシャル
1375	その他	低
1887	その他	低
3134	契約積み上げ	高
3447	その他	低
3465	その他	低
3491	その他	中
3539	拠点数	中
3540	その他	中
3542	その他	低
3566	その他	中
3913	その他	低
3917	契約積み上げ	中
3924	人員数	低
3926	その他	中
3935	その他	低
3936	契約積み上げ	低
3937	人員数	中
3940	人員数	中
3974	契約積み上げ	低
3984	契約積み上げ	高
3985	契約積み上げ	中
3989	その他	中
4011	人員数	中
4014	その他	中
4019	契約積み上げ	中
4166	契約積み上げ	中
4398	人員数	中
4420	人員数	中
4421	人員数	低
4422	契約積み上げ	中
4440	人員数	低
4442	人員数	中
4445	その他	中
4448	契約積み上げ	高
4450	人員数	中
4481	人員数	低
4484	契約積み上げ	中
4499	その他	中
4598	その他	低
4881	その他	低
6176	その他	低
6232	その他	中
6238	その他	中
6532	人員数	高
6539	人員数	中
6543	その他	低
6548	その他	低
6557	拠点数	中
6561	その他	低
7047	その他	中
7071	拠点数	高
7077	その他	中
7088	人員数	中
7097	拠点数	中
7360	人員数	中
7673	その他	低
7682	拠点数	中
7800	その他	低
7804	その他	低
7805	その他	低
